,Name,City,Country,IATA,Lat,Long,city_population,country_population,country_density,source_airport,destination_flights,flights_coefficient
0,Goroka Airport,Goroka,Papua New Guinea,GKA,-6.0816898345900015,145.391998291,43741.0,8776109.0,18.9614,GKA,306.0,142.94319880418536
1,Madang Airport,Madang,Papua New Guinea,MAG,-5.20707988739,145.789001465,24444.0,8776109.0,18.9614,MAG,171.0,142.94319880418536
2,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789855957031,144.29600524902344,74903.0,8776109.0,18.9614,HGU,524.0,142.94319880418536
3,Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977,101061.0,8776109.0,18.9614,LAE,707.0,142.94319880418536
4,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.44338035583496,147.22000122070312,382516.0,8776109.0,18.9614,POM,2676.0,142.94319880418536
5,Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.5838301181800003,143.66900634799998,25159.0,8776109.0,18.9614,WWK,176.0,142.94319880418536
6,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.1604995728,-45.4259986877,15214.0,56672.0,0.0262,UAK,35.0,434.67313712085775
7,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.678100585900005,85196.0,56672.0,0.0262,GOH,196.0,434.67313712085775
8,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122218992,-50.7116031647,111711.0,56672.0,0.0262,SFJ,257.0,434.67313712085775
9,Thule Air Base,Thule,Greenland,THU,76.5311965942,-68.70320129390001,3478.0,56672.0,0.0262,THU,8.0,434.67313712085775
10,Akureyri Airport,Akureyri,Iceland,AEY,65.66000366210939,-18.07270050048828,49988.0,339031.0,3.2916,AEY,115.0,434.67313712085775
11,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.28330230712889,-14.401399612426758,32166.0,339031.0,3.2916,EGS,74.0,434.67313712085775
14,Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.05809783935547,-23.13529968261719,19561.0,339031.0,3.2916,IFJ,45.0,434.67313712085775
15,Keflavik International Airport,Keflavik,Iceland,KEF,63.985000610352,-22.605600357056,668093.0,339031.0,3.2916,KEF,1537.0,434.67313712085775
17,Reykjavik Airport,Reykjavik,Iceland,RKV,64.1299972534,-21.9405994415,105191.0,339031.0,3.2916,RKV,242.0,434.67313712085775
20,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.48500061035156,-84.5093994140625,139096.0,37411047.0,3.7468,YAM,320.0,434.67313712085775
21,St. Anthony Airport,St. Anthony,Canada,YAY,51.391899108900006,-56.083099365200006,11302.0,37411047.0,3.7468,YAY,26.0,434.67313712085775
24,Baie Comeau Airport,Baie Comeau,Canada,YBC,49.13249969482422,-68.20439910888672,39556.0,37411047.0,3.7468,YBC,91.0,434.67313712085775
25,CFB Bagotville,Bagotville,Canada,YBG,48.33060073852539,-70.99639892578125,59985.0,37411047.0,3.7468,YBG,138.0,434.67313712085775
26,Baker Lake Airport,Baker Lake,Canada,YBK,64.29889678960001,-96.077796936,50423.0,37411047.0,3.7468,YBK,116.0,434.67313712085775
27,Campbell River Airport,Campbell River,Canada,YBL,49.95080184936523,-125.27100372314452,163003.0,37411047.0,3.7468,YBL,375.0,434.67313712085775
28,Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897,21734.0,37411047.0,3.7468,YBR,50.0,434.67313712085775
29,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.1081008911,-105.138000488,38686.0,37411047.0,3.7468,YCB,89.0,434.67313712085775
30,Nanaimo Airport,Nanaimo,Canada,YCD,49.0549702249,-123.869862556,136488.0,37411047.0,3.7468,YCD,314.0,434.67313712085775
31,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.2963981628,-117.632003784,44337.0,37411047.0,3.7468,YCG,102.0,434.67313712085775
33,Charlo Airport,Charlo,Canada,YCL,47.990799,-66.330299,6086.0,37411047.0,3.7468,YCL,14.0,434.67313712085775
34,Kugluktuk Airport,Coppermine,Canada,YCO,67.816704,-115.143997,35644.0,37411047.0,3.7468,YCO,82.0,434.67313712085775
37,Clyde River Airport,Clyde River,Canada,YCY,70.4860992432,-68.5167007446,20865.0,37411047.0,3.7468,YCY,48.0,434.67313712085775
38,Coral Harbour Airport,Coral Harbour,Canada,YZS,64.1932983398,-83.3593978882,35644.0,37411047.0,3.7468,YZS,82.0,434.67313712085775
41,Deer Lake Airport,Deer Lake,Canada,YDF,49.21080017089844,-57.39139938354492,259935.0,37411047.0,3.7468,YDF,598.0,434.67313712085775
