,Rank,Name,2020 Population,2019 Population,Change
0,1,Tokyo,37393129,37435191,-0.11%
1,2,Delhi,30290936,29399141,3.03%
2,3,Shanghai,27058479,26317104,2.82%
3,4,Sao Paulo,22043028,21846507,0.90%
4,5,Mexico City,21782378,21671908,0.51%
5,6,Dhaka,21005860,20283552,3.56%
6,7,Cairo,20900604,20484965,2.03%
7,8,Beijing,20462610,20035455,2.13%
8,9,Mumbai,20411274,20185064,1.12%
9,10,Osaka,19165340,19222665,-0.30%
10,11,Karachi,16093786,15741406,2.24%
11,12,Chongqing,15872179,15354067,3.37%
12,13,Istanbul,15190336,14967667,1.49%
13,14,Buenos Aires,15153729,15057273,0.64%
14,15,Kolkata,14850066,14755186,0.64%
15,16,Lagos,14368332,13903620,3.34%
16,17,Kinshasa,14342439,13743278,4.36%
17,18,Manila,13923452,13698889,1.64%
18,19,Tianjin,13589078,13396402,1.44%
19,20,Rio De Janeiro,13458075,13374275,0.63%
20,21,Guangzhou,13301532,12967862,2.57%
21,22,Lahore,12642423,12188196,3.73%
22,23,Moscow,12537954,12476171,0.50%
23,24,Shenzhen,12356820,12128721,1.88%
24,25,Bangalore,12326532,11882666,3.74%
25,26,Paris,11017230,10958187,0.54%
26,27,Bogota,10978360,10779376,1.85%
27,28,Chennai,10971108,10711243,2.43%
28,29,Jakarta,10770487,10638689,1.24%
29,30,Lima,10719188,10554712,1.56%
30,31,Bangkok,10539415,10350204,1.83%
31,32,Hyderabad,10004144,9741397,2.70%
32,33,Seoul,9963452,9962393,0.01%
33,34,Nagoya,9552132,9532059,0.21%
34,35,London,9304016,9176530,1.39%
35,36,Chengdu,9135768,8971839,1.83%
36,37,Tehran,9134708,9013663,1.34%
37,38,New York,8622357,8580015,0.25%
38,39,Wuhan,8364977,8266273,1.19%
39,40,Luanda,8329798,8044735,3.54%
40,41,Ahmedabad,8059441,7868633,2.42%
41,42,Xian,8000965,7722254,3.61%
42,43,Kuala Lumpur,7996830,7780301,2.78%
43,44,Hangzhou,7642147,7437993,2.74%
44,45,Hong Kong,7547652,7490776,0.76%
45,46,Dongguan,7407852,7378500,0.40%
46,47,Foshan,7326852,7257143,0.96%
