"Rank","name","pop2019","pop2018","GrowthRate","area","Density"
1,"China","1433783.6860",,"1.0039",9706961,"147.7068"
2,"India","1366417.7540",,"1.0099",3287590,"415.6290"
3,"United States","329064.9170",,"1.0059",9372610,"35.1092"
4,"Indonesia","270625.5680",,"1.0107",1904569,"142.0928"
5,"Pakistan","216565.3180",,"1.0200",881912,"245.5634"
6,"Brazil","211049.5270",,"1.0072",8515767,"24.7834"
7,"Nigeria","200963.5990",,"1.0258",923768,"217.5477"
8,"Bangladesh","163046.1610",,"1.0101",147570,"1104.8734"
9,"Russia","145872.2560",,"1.0004",17098242,"8.5314"
10,"Mexico","127575.5290",,"1.0106",1964375,"64.9446"
11,"Japan","126860.3010",,"0.9970",377930,"335.6714"
12,"Ethiopia","112078.7300",,"1.0257",1104300,"101.4930"
13,"Philippines","108116.6150",,"1.0135",342353,"315.8045"
14,"Egypt","100388.0730",,"1.0194",1002450,"100.1427"
15,"Vietnam","96462.1060",,"1.0091",331212,"291.2398"
16,"DR Congo","86790.5670",,"1.0319",2344858,"37.0131"
17,"Germany","83517.0450",,"1.0032",357114,"233.8666"
18,"Turkey","83429.6150",,"1.0109",783562,"106.4748"
19,"Iran","82913.9060",,"1.0130",1648195,"50.3059"
20,"Thailand","69625.5820",,"1.0025",513120,"135.6906"
21,"United Kingdom","67530.1720",,"1.0053",242900,"278.0164"
22,"France","65129.7280",,"1.0022",551695,"118.0539"
23,"Italy","60550.0750",,"0.9985",301336,"200.9387"
24,"South Africa","58558.2700",,"1.0128",1221037,"47.9578"
25,"Tanzania","58005.4630",,"1.0298",945087,"61.3758"
26,"Myanmar","54045.4200",,"1.0067",676578,"79.8805"
27,"Kenya","52573.9730",,"1.0228",580367,"90.5875"
28,"South Korea","51225.3080",,"1.0009",100210,"511.1796"
29,"Colombia","50339.4430",,"1.0108",1141748,"44.0898"
30,"Spain","46736.7760",,"1.0004",505992,"92.3666"
31,"Argentina","44780.6770",,"1.0093",2780400,"16.1058"
32,"Uganda","44269.5940",,"1.0332",241550,"183.2730"
33,"Ukraine","43993.6380",,"0.9941",603500,"72.8975"
34,"Algeria","43053.0540",,"1.0185",2381741,"18.0763"
35,"Sudan","42813.2380",,"1.0242",1886068,"22.6997"
36,"Iraq","39309.7830",,"1.0232",438317,"89.6835"
37,"Afghanistan","38041.7540",,"1.0233",652230,"58.3257"
38,"Poland","37887.7680",,"0.9989",312679,"121.1715"
39,"Canada","37411.0470",,"1.0089",9984670,"3.7468"
40,"Morocco","36471.7690",,"1.0120",446550,"81.6745"
41,"Saudi Arabia","34268.5280",,"1.0159",2149690,"15.9411"
42,"Uzbekistan","32981.7160",,"1.0148",447400,"73.7186"
43,"Peru","32510.4530",,"1.0142",1285216,"25.2957"
44,"Malaysia","31949.7770",,"1.0130",330803,"96.5825"
45,"Angola","31825.2950",,"1.0327",1246700,"25.5276"
46,"Ghana","30417.8560",,"1.0215",238533,"127.5205"
47,"Mozambique","30366.0360",,"1.0293",801590,"37.8823"
48,"Yemen","29161.9220",,"1.0228",527968,"55.2343"
49,"Nepal","28608.7100",,"1.0185",147181,"194.3777"
50,"Venezuela","28515.8290",,"0.9972",916445,"31.1157"
51,"Madagascar","26969.3070",,"1.0268",587041,"45.9411"
52,"Cameroon","25876.3800",,"1.0259",475442,"54.4259"
53,"Ivory Coast","25716.5440",,"1.0257",322463,"79.7504"
54,"North Korea","25666.1610",,"1.0044",120538,"212.9300"
55,"Australia","25203.1980",,"1.0118",7692024,"3.2765"
56,"Taiwan","23773.8760",,"1.0018",36193,"656.8639"
57,"Niger","23310.7150",,"1.0384",1267000,"18.3984"
58,"Sri Lanka","21323.7330",,"1.0042",65610,"325.0074"
59,"Burkina Faso","20321.3780",,"1.0286",272967,"74.4463"
60,"Mali","19658.0310",,"1.0302",1240192,"15.8508"
61,"Romania","19364.5570",,"0.9934",238391,"81.2302"
62,"Chile","18952.0380",,"1.0087",756102,"25.0655"
63,"Malawi","18628.7470",,"1.0269",118484,"157.2258"
64,"Kazakhstan","18551.4270",,"1.0121",2724900,"6.8081"
65,"Zambia","17861.0300",,"1.0293",752612,"23.7321"
66,"Guatemala","17581.4720",,"1.0190",108889,"161.4623"
67,"Ecuador","17373.6620",,"1.0155",276841,"62.7568"
68,"Netherlands","17097.1300",,"1.0022",41850,"408.5336"
69,"Syria","17070.1350",,"1.0252",185180,"92.1813"
70,"Cambodia","16486.5420",,"1.0141",181035,"91.0683"
71,"Senegal","16296.3640",,"1.0275",196722,"82.8396"
72,"Chad","15946.8760",,"1.0300",1284000,"12.4197"
73,"Somalia","15442.9050",,"1.0292",637657,"24.2182"
74,"Zimbabwe","14645.4680",,"1.0148",390757,"37.4797"
75,"Guinea","12771.2460",,"1.0283",245857,"51.9458"
76,"Rwanda","12626.9500",,"1.0258",26338,"479.4195"
77,"Benin","11801.1510",,"1.0273",112622,"104.7855"
78,"Tunisia","11694.7190",,"1.0106",163610,"71.4792"
79,"Belgium","11539.3280",,"1.0044",30528,"377.9916"
80,"Burundi","11530.5800",,"1.0312",27834,"414.2624"
81,"Bolivia","11513.1000",,"1.0139",1098581,"10.4800"
82,"Cuba","11333.4830",,"0.9994",109884,"103.1404"
83,"Haiti","11263.0770",,"1.0124",27750,"405.8766"
84,"South Sudan","11062.1130",,"1.0119",619745,"17.8495"
85,"Dominican Republic","10738.9580",,"1.0101",48671,"220.6439"
86,"Czech Republic","10689.2090",,"1.0018",78865,"135.5381"
87,"Greece","10473.4550",,"0.9952",131990,"79.3504"
88,"Portugal","10226.1870",,"0.9971",92090,"111.0456"
89,"Jordan","10101.6940",,"1.0100",89342,"113.0677"
90,"Azerbaijan","10047.7180",,"1.0091",86600,"116.0245"
91,"Sweden","10036.3790",,"1.0063",450295,"22.2885"
92,"United Arab Emirates","9770.5290",,"1.0123",83600,"116.8724"
93,"Honduras","9746.1170",,"1.0163",112492,"86.6383"
94,"Hungary","9684.6790",,"0.9975",93028,"104.1050"
95,"Belarus","9452.4110",,"0.9997",207600,"45.5318"
96,"Tajikistan","9321.0180",,"1.0232",143100,"65.1364"
97,"Austria","8955.1020",,"1.0057",83871,"106.7723"
98,"Papua New Guinea","8776.1090",,"1.0195",462840,"18.9614"
99,"Serbia","8772.2350",,"0.9960",88361,"99.2772"
100,"Switzerland","8591.3650",,"1.0074",41284,"208.1040"
101,"Israel","8519.3770",,"1.0160",20770,"410.1770"
102,"Togo","8082.3660",,"1.0243",56785,"142.3328"
103,"Sierra Leone","7813.2150",,"1.0210",71740,"108.9102"
