,course_code,destination_code,destination_flights
0,AAA,PPT,6
1,AAA,MKP,0
2,AAA,RRR,0
3,AAA,FAC,0
4,AAK,TRW,12
5,AAK,KUC,0
6,AAL,CPH,389
7,AAL,AMS,87
8,AAL,OSL,36
9,AAL,STN,12
10,AAL,AGP,12
11,AAL,BCN,5
12,AAL,SCR,4
13,AAL,Las Palmas,4
14,AAL,FAE,0
15,AAL,AYT,0
16,AAL,RNN,0
17,AAL,PMI,0
18,AAN,KWI,12
19,AAN,CCJ,8
20,AAN,PEW,8
21,AAN,AMM,0
22,AAP,CGK,154
23,AAP,SUB,116
24,AAP,JOG,83
25,AAP,BEJ,41
26,AAP,GHS,29
27,AAP,DPS,29
28,AAP,TRK,29
29,AAP,YIA,29
30,AAP,BDJ,29
31,AAP,HLP,29
32,AAP,UPG,29
33,AAP,TJS,13
34,AAQ,DME,91
35,AAQ,SVO,87
36,AAQ,SGC,0
37,AAQ,UFA,0
38,AAQ,LED,0
39,AAQ,CEE,0
40,AAQ,KJA,0
41,AAQ,OVB,0
42,AAQ,SCW,0
43,AAQ,TJM,0
44,AAQ,VKO,0
45,AAQ,KUF,0
46,AAQ,HMA,0
47,AAQ,NJC,0
48,AAQ,PES,0
49,AAR,CPH,150
50,AAR,OSL,44
51,AAR,Bromma,31
52,AAR,Arlanda,24
53,AAR,STN,20
54,AAR,MUC,13
55,AAR,GDN,8
56,AAR,LGW,8
57,AAR,PMI,0
58,AAR,Crete,0
59,AAR,SPU,0
60,AAR,ZAD,0
61,AAR,RNN,0
62,AAR,ALC,0
63,AAR,AGP,0
64,AAR,NCE,0
65,AAT,URC,109
66,AAT,XIY,39
67,AAT,KJI,27
68,AAT,BPL,16
69,AAT,CGO,16
70,AAT,KRL,13
71,AAT,YIN,13
72,AAT,TCG,12
73,AAT,KRY,11
74,AAX,CNF,8
75,AAX,UBA,0
76,ABA,DME,21
77,ABA,KJA,21
78,ABA,SVO,21
79,ABA,OVB,20
80,ABA,KYZ,12
81,ABA,NSK,5
82,ABB,LOS,96
83,ABB,ABV,78
84,ABD,THR,58
85,ABD,SYZ,42
86,ABD,MHD,40
87,ABD,IFN,29
88,ABD,BND,4
89,ABE,ORD,87
90,ABE,PHL,85
91,ABE,CLT,85
92,ABE,DTW,81
93,ABE,ATL,70
94,ABE,SFB,54
95,ABE,PIE,18
96,ABE,PGD,15
97,ABE,FLL,7
98,ABE,SAV,5
99,ABE,SRQ,5
100,ABE,BNA,5
101,ABE,MDW,0
102,ABE,MYR,0
103,ABF,TRW,12
104,ABF,MZK,4
105,ABI,DFW,158
106,ABJ,ACC,75
107,ABJ,DSS,59
108,ABJ,CDG,47
109,ABJ,COO,44
110,ABJ,OUA,42
111,ABJ,BKO,42
112,ABJ,CMN,39
113,ABJ,CKY,37
114,ABJ,IST,29
115,ABJ,LFW,28
116,ABJ,ADD,25
117,ABJ,Orly,19
118,ABJ,NBO,17
119,ABJ,LIS,16
120,ABJ,TUN,13
121,ABJ,ALG,12
122,ABJ,BRU,12
123,ABJ,JFK,9
124,ABJ,BOY,8
125,ABJ,LOS,8
126,ABJ,NIM,4
127,ABJ,BEY,0
128,ABK,JIJ,5
129,ABL,OTZ,54
130,ABL,SHG,54
131,ABL,OBU,0
